rank,물품코드,물품명,usage_qty,unit_price,value_share,cumulative_share,abc_class,ved_class
112,W679601100,피나리정(피나스테리드)_(5mg/1정)((주)서흥)-1정,518183.0,0.0,0.0014028282300142237,0.4942087060104736,A,
113,W073100220,코자정(로사르탄칼륨)_(50mg/1정)(한국오가논(주))-1정,516331.0,0.0,0.0013978144841329688,0.4956065204946066,A,
114,WA11800461,삼남로페라마이드캅셀(삼남제약)-1캅셀,510696.5,0.0,0.0013825607308025523,0.49698908122540914,A,
115,W679601350,스티원정(애엽95%에탄올연조엑스(20→1))_(60mg/1정)((주)서흥)-1정,505949.0,0.0,0.0013697082693709876,0.49835878949478013,A,
116,WA07404061,아마릴정2mg(한독약품)-1정,499373.0,0.0,0.0013519056814038533,0.499710695176184,A,
117,W699800760,이부펜정400mg(이부프로펜)(제이에스제약(주))-1정,496667.4,0.0,0.001344581064310806,0.5010552762404948,A,
118,WW24260621,부스코판당의정(한국베링거인겔하임)-1정,489924.5,0.0,0.001326326643628995,0.5023816028841238,A,
119,USE0000809,1.바로코민(정),486220.0,,0.0013162977982633854,0.5036979006823872,A,
120,WMD0327671,헤모퀸골드엠캡슐(경남제약),484037.0,0.0,0.0013103879671301352,0.5050082886495173,A,
121,W648602690,씨엠지암로디핀정5mg(암로디핀베실산염)((주)씨엠지제약)-1정,481937.0,0.0,0.0013047028341114334,0.5063129914836287,A,
122,W053600780,뉴슈바틴정10밀리그램(로수바스타틴칼슘)_(10.4mg/1정)(안국뉴팜(주))-1정,476737.0,0.0,0.0012906253618746484,0.5076036168455034,A,
123,W669700210,로잘핀정(로사르탄칼륨)(에스피씨(주))-1정,472755.0,0.0,0.0012798452667887104,0.5088834621122921,A,
124,USE0001003,영양제(바로코민),472179.0,,0.0012782859160178665,0.5101617480283099,A,
125,WA23054331,레프로진정(위더스제약)-1정,469821.5,0.0,0.0012719036774028242,0.5114336517057128,A,
126,W656004410,암로텔미정40/5밀리그램_(1정)(알리코제약(주))-1정,469552.5,0.0,0.0012711754389351903,0.5127048271446479,A,
127,WA20750081,신일폴산정(신일제약)-1정,466015.0,0.0,0.0012615986970048775,0.5139664258416529,A,
128,WA21452301,써스펜8시간이알서방정650밀리그램(아세트아미노펜)_(0.65g/1정)(한미약품(주))-1정,464527.0,0.0,0.0012575703741801974,0.515223996215833,A,
129,WA23003831,손페리정(위더스제약)-1정,462997.0,0.0,0.0012534283486951435,0.5164774245645282,A,
130,W649101090,티티아민정(1정)(한국휴텍스제약(주))-1정,455112.5,0.0,0.0012320833814161182,0.5177095079459443,A,
